name,price,condition,brand,model,memory_GB,title,info,link
NVIDIA NVIDIA Quadro 4000 8 GB,209.99,Pre-Owned,NVIDIA,NVIDIA Quadro 4000,8.0,NVIDIA QUADRO P4000 8GB GDDR5 4x DP Video Graphics Card,Pre-Owned · NVIDIA · NVIDIA Quadro 4000 · 8 GB,https://www.ebay.com/itm/166093932893?hash=item26abf8495d%3Ag%3A%7EjUAAOSwqttkXp-t&amdata=enc%3AAQAIAAAAwBxWB%2Bo1QGVEnN4UM3HYKVUt27BcKx6irP0JlFHVRvbnObv9KxRfHFPeMEIDOhu1rmpksduHrO9JeUHjVuL6d8%2FFA%2BI6cRPSyVBKVw0%2BtzohjDehc%2FRt3Zgl2kvyyy6Sm5IZr%2F%2Fwpl5d0lybc9hBy%2BjTt9F1DRi%2F2Petmy6cpANYTe8vx2tIcUf5dQGKVDl1UIIFK7YX8D3GVwblkqa69Lq2elqYiOsRbuOGCE5SGCLB0IujfI%2FIx5pRhrliq7efpQ%3D%3D%7Ctkp%3ABk9SR5zE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
EVGA NVIDIA GeForce RTX 3060 12 GB,155.0,Pre-Owned,EVGA,NVIDIA GeForce RTX 3060,12.0,EVGA GeForce RTX 3060 XC GAMING 12GB GDDR6 Graphics Card (12G-P5-3657-KR),Pre-Owned · EVGA · NVIDIA GeForce RTX 3060 · 12 GB,https://www.ebay.com/itm/175779757938?epid=2315640392&hash=item28ed4a3f72%3Ag%3ARlEAAOSwN%7ExkgMAh&amdata=enc%3AAQAIAAAA4Py3hy08gEifn%2B1hAX4DipFeqA3R43gVXGhk4PcoOnXBcuqOFervuSndps%2B8SRJv11xLDYOnuDwBBrU5LobZCDFxuwfSn6dLu0kZezxUSVc4O0wTSeNSQ7an6MOD6vIUhmgzJAt4FE1SEm8yNWCO0Ja%2FwghuqRnS4VTwfS3EUzBlZcnVHjr%2Bc3vCRTuOcwEcb3311d%2FxRnj6QSuJdZ%2F1I%2Bb3VlqreXsTujJpQQzPytzKD51B8vazScxrBl88YfeaLAvucBpBOS9D1WB2Kn5af98WKrcPviDxFQKbzsgBkNWF%7Ctkp%3ABk9SR57E0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
POWERCOLOR AMD Radeon RX 6900 XT 16 GB,405.0,Pre-Owned,POWERCOLOR,AMD Radeon RX 6900 XT,16.0,PowerColor Red Devil AMD Radeon RX 6900 XT 16GB GDDR6 Graphics Card,Pre-Owned · PowerColor · AMD Radeon RX 6900 XT · 16 GB,https://www.ebay.com/itm/115837503686?epid=0&hash=item1af87408c6%3Ag%3AzHEAAOSwk2dkkIlp&amdata=enc%3AAQAIAAAAwIWE34i7vugXV2YFhp9US2Fmi4nmByVHZphXiQCwn6eqOojKC%2Fb5tcDGTPMdGj2ZHnQfJ4FvkFrLlBc60DPpbV3y4Fg9saqs0pVl7RPEg1Oo7E2kdkW%2BfHOmAac19IOy3bzD2o%2Fr%2BUx%2FhldNOANdX88dPKa%2Bt0TtKoNt9drAqnigKxECctWzC6FV0LX7BHms1iHbLaCFeWRNd9f4iBGz9cWRmhExrHN1vhKdNwTbwE98tVvcegAfkSk0nEc4vH3xMg%3D%3D%7Ctkp%3ABk9SR57E0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
SAPPHIRE AMD Radeon RX 5700 XT 8 GB,143.5,Pre-Owned,SAPPHIRE,AMD Radeon RX 5700 XT,8.0,SAPPHIRE Radeon NITRO+ RX 5700 XT 8GB GDDR6 Graphics Card (11293-03-40G),Pre-Owned · SAPPHIRE · AMD Radeon RX 5700 XT · 8 GB,https://www.ebay.com/itm/354864297632?hash=item529f8f76a0%3Ag%3ATMYAAOSwk9Zkg1jI&amdata=enc%3AAQAIAAAAwO2qo2QOs4ry0kjNTeMX%2FEOBmBmS56EwGcFNn%2BJDYPdlBFp%2FlC6KHluw0W%2FujuIMhAN%2BI1Q%2B7Wl%2Fsr9uifbVQkS2MhunuJB9cQ0BnpjgdIi9dWpwS%2BLF%2Fs3tKMxald7lUvptIfp5I6dBpxRdJT0Il2mfWxVh9EARsK3Fywxc8NuN5CQRSvqFshbbua1xH02vao2IUR7CjZ%2F3OcfTjOdGBEdyDpNJWxb%2B6Qiz3JBUObRh7RkwFH8zLdx84frDJEY7sg%3D%3D%7Ctkp%3ABk9SR57E0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
GIGABYTE NVIDIA GeForce GTX 1050 Ti 4 GB,65.0,Pre-Owned,GIGABYTE,NVIDIA GeForce GTX 1050 Ti,4.0,GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (GVN105TD54GD),Pre-Owned · GIGABYTE · NVIDIA GeForce GTX 1050 Ti · 4 GB,https://www.ebay.com/itm/225592974631?epid=5026512636&hash=item3486639d27%3Ag%3Af64AAOSwwFdkcRcc&amdata=enc%3AAQAIAAAAwHK1y3RRJRSulFS%2FZ3RrYKFldK0WR%2BgWTUvCKxAcuPWlLZpb8wVB5X8jb20Q0%2FzX1jFnNlfVDmYjFGmw4JppVlh1VFKQNLBg3k372h5arxp%2BsWvIoxID468n2hJgVrTckn0uUUUUhNvCgVMT5MANnwb1L90zTa%2BwuS1MU49lVfHN1z9VFWnMc25DLosbee%2BmrN8oYSP9OpeX3mNGg8%2BD0%2Bzu1De8MDA3I21kVjxri9C3NDr9xikFiUmZzyoREByuGw%3D%3D%7Ctkp%3ABk9SR57E0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
EVGA NVIDIA GeForce RTX 3080 10 GB,480.0,Pre-Owned,EVGA,NVIDIA GeForce RTX 3080,10.0,EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card...,Pre-Owned · EVGA · NVIDIA GeForce RTX 3080 · 10 GB,https://www.ebay.com/itm/325659543582?epid=28049305346&hash=item4bd2d2481e%3Ag%3AMT4AAOSw26NkZVTf&amdata=enc%3AAQAIAAAA4BaU1aauYM%2BOJf8HR9jvH5ULvwFyV5qeU0jWfhY7BRbQ9yKjqIjYUU%2BsUOLvWZwf8vW6hQ6l4syZ3e%2F9BEN5BHGRW9tkvf6Cvwr2%2Furbl7z9wj9pDu%2BCZazGj%2FI1zzdW0v6%2FqEq0k8BgoZgqxUFI0fsm48CxIS9RgL60XPNK%2Fo5rsjfXU3AXI6L0J1XGFaIQr3ZJ7Z7ZFL4cghttFXftcyx9xH2qjSJ6n5K6bY47kB2plELNOpzbKcdQWCrlKTM20qN2UHQIJW6dEXhz7de%2FZCpKcyGkYE%2BxjD51TznyjgO5%7Ctkp%3ABk9SR57E0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
MSI NVIDIA GeForce RTX 2070 8 GB,127.5,Pre-Owned,MSI,NVIDIA GeForce RTX 2070,8.0,MSI GeForce RTX 2070 VENTUS GP 8GB GDDR6 Graphics Card,Pre-Owned · MSI · NVIDIA GeForce RTX 2070 · 8 GB,https://www.ebay.com/itm/256115155268?epid=2316187694&hash=item3ba1a72144%3Ag%3AOAYAAOSwumRkkII4&amdata=enc%3AAQAIAAAA4L93AhTSU%2FFdE8mF9wSGetrtj9vSa70gCgpQzPB01tdcQjdc%2BLLpXpw0qnyIS5t35TzBqEZ49MOc6HysX8RsNYmdQk%2BajocIxu7wmETnZ9s9Ei6DCXYrQ2%2BQa%2Bq44c1Lk8Fa8%2FPy5mry5w9iZHVI5d4wStHHBD59AcexBi3Z4%2Fe%2F26j0VkAfpeLysL%2F7yxmyhIrtA%2FvjnqRU4Uee7miFSqGNr6RuecbA0PqIBvsLIQVyVvQCZjx%2BVI5jwsCzo1vAm2Nwh9naatYYFUMKhfvKNwZMNCiqJMTci7zkZg6qrzXQ%7Ctkp%3ABk9SR57E0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
ZOTAC NVIDIA GeForce RTX 2080 Ti 11 GB,280.0,Pre-Owned,ZOTAC,NVIDIA GeForce RTX 2080 Ti,11.0,ZOTAC Gaming GeForce RTX 2080 Ti 11GB GDDR6 Graphics Card (ZT-T20810F-10P),Pre-Owned · ZOTAC · NVIDIA GeForce RTX 2080 Ti · 11 GB,https://www.ebay.com/itm/145145982824?epid=27024159167&hash=item21cb5fef68%3Ag%3Au0YAAOSwvqxkkIEv&amdata=enc%3AAQAIAAAA4JmnAyyVDFSYL6jNRknL5P9j3xPSJyPvvx3NCox7RZM%2FLwT9XIAusfJ1INNSB9pDbindEz2wMVb%2BCOYWTylpgI7HOKdMFS91Ve4FPmw4%2FqVk3Q9%2FDvmAGKjRR1djYbNsN8lEsCRrYbi13bdO1N%2FzxVfUf7kyS%2B3vhZ0%2BCO0PNNGg2zNBtWSDUa8Nj87sCYA7hyD5Xklkj2FCBh7o%2BEswPGYWthT4dQQ%2FT9EIzjmv0ShYGNOwi00tcN3d2GVS49E7NbJUicT3wHs6q825EQkDAZUpFnGF4VB%2FhipLgR0I6GVz%7Ctkp%3ABk9SR57E0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
NVIDIA NVIDIA GeForce GTX 1080 Ti 11 GB,179.0,Pre-Owned,NVIDIA,NVIDIA GeForce GTX 1080 Ti,11.0,NVIDIA GeForce GTX 1080Ti Founders Edition 11GB GDDR5X Graphic Card,Pre-Owned · NVIDIA · NVIDIA GeForce GTX 1080 Ti · 11 GB,https://www.ebay.com/itm/304989362541?epid=24027038848&hash=item4702c8596d%3Ag%3ARGEAAOSwyzJkfgn9&amdata=enc%3AAQAIAAAA4GhjWBii%2FwCFjUBRBNJtbeAyRNFQFdVugfGeiZiQfebvErHcb2J84gdmwjqgSbbj0hPa9r3Wi%2BMm%2BedN8gXvGMjymRq9pHjJkunIgfpHXqsLh3%2FIwBwRz8jRhAZ4dqLAsKtMbdWCry5bYRAYLEVlefL1kQViah7obzEYC2hNF3QB4fegrrxo9bW75GL8Ej%2BcFHVvG0V8rW2TXTxEdYWvw6n43aKbAK475A9hRodfjeW0%2BRRcUVkKHoMBVMGl8SRzx5AsAXiImXeurASjn81ZN3BVDzdgs9jsmfF0KM%2FAW7T5%7Ctkp%3ABk9SR6DE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
MSI NVIDIA GeForce RTX 3060 12 GB,235.0,Pre-Owned,MSI,NVIDIA GeForce RTX 3060,12.0,MSI GeForce RTX 3060 VENTUS 3X OC 12GB GDDR6 Graphics Card - #151891,Pre-Owned · MSI · NVIDIA GeForce RTX 3060 · 12 GB,https://www.ebay.com/itm/394698294782?epid=18045664186&hash=item5be5da05fe%3Ag%3AjGUAAOSwhyRklhoa&amdata=enc%3AAQAIAAAA4HbjYHna11iABD1d9mbeRQZUSjSTHKjx9jL1k9z1Y3tzOIlHMnCnJaBylBz46x2bPsVI9ztBhxUfUPopMF4E9bhxUwkh6w9yVwftooRz4GuVYgOUjU3G4z0wnP6PNL5p5MOrSSLk7eZfr0mWhyncw5sZ4B5z5WOT4OuHM%2B4y%2B4oE4w6cjhvwc45z%2Bo5MUrHBJn%2FUclnU8mGlQdbShddzYYSc2oegIjU%2BaVSmcT66tnTS3uiMnlLp2D1sATD7S5MUg8D7VnFPlSS7iXShC6u3np7L5AttS826Bgrn5ZmhexTb%7Ctkp%3ABk9SR6DE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
MSI NVIDIA GeForce RTX 3080 10 GB,445.0,Open Box,MSI,NVIDIA GeForce RTX 3080,10.0,MSI GeForce RTX 3080 GAMING Z Trio 10GB GDDR6X Graphics Card,Open Box · MSI · NVIDIA GeForce RTX 3080 · 10 GB,https://www.ebay.com/itm/235056754822?epid=12050514937&hash=item36ba797086%3Ag%3At08AAOSwC81kbevv&amdata=enc%3AAQAIAAAA4Oen%2BxOSZ%2BAJwRx%2FnPNMBCh0IETcFqcIVHMU%2BgqUbHvwQpAwQ3QMdR79%2FVsl8ofmK1alNJfzId2na5D2nR20CsVj0elP8sjXIqjeanN8IZ4%2BI5uQbk7UnBQOY2ZifgeFPsPvbssFfBVw7Co57xISdrTG8UtGL450HH52iRNDNZukpkN96VyARgzNdoL%2BUw93tJkulKceiWvWBrRlhfcqrCAIBuuwHpdA0fFGfUR8VsLSanGbqPpsCaldRS7lwYrMniETLoFv2yW3mPpz3MU6VW2jp2E3oFQm549%2BeYTwfxrO%7Ctkp%3ABk9SR6DE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
NVIDIA NVIDIA GeForce RTX 3080 Ti 12 GB,520.0,Pre-Owned,NVIDIA,NVIDIA GeForce RTX 3080 Ti,12.0,New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,Pre-Owned · NVIDIA · NVIDIA GeForce RTX 3080 Ti · 12 GB,https://www.ebay.com/itm/225639256486?epid=16047875718&hash=item348925d1a6%3Ag%3ACAkAAOSw0oZkmQ6R&amdata=enc%3AAQAIAAAA4Cc2NKhUpECQMKqSfsLk3K54EMaugA%2FvrIptciODJaFyPpCOEKwiojIP0177ay2aXBSsQr4c0VhYKcDJoZT9bk20l%2FQf%2BxjXyElJv5nsV4halzO6l%2BWzdSLeNfJcqWuGNR%2FmwFdjS2%2Bczgqsq7GKNOUcJorIH60YYm5gMxQIyW72%2BbKizMQv70Ob5sPmKgJzQ8Af6FlJ7W5%2BuJmsqaxAIDZRRHsGxNqGHQOv1%2BPrxuepZMbdAC9YV9zR7IMiFkICwsKrLcwO3NHQQPvw3pfobXESLlwcPY1Bv%2FrV3SbYJiUq%7Ctkp%3ABk9SR6DE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
MSI NVIDIA GeForce RTX 3060 12 GB,206.51,Pre-Owned,MSI,NVIDIA GeForce RTX 3060,12.0,MSI GeForce RTX 3060 VENTUS 3X OC 12GB GDDR6 Graphics Card,Pre-Owned · MSI · NVIDIA GeForce RTX 3060 · 12 GB,https://www.ebay.com/itm/185949402750?epid=18045664186&hash=item2b4b72b67e%3Ag%3AQRAAAOSwX3dkiZLX&amdata=enc%3AAQAIAAAAwN3yb5pSEBytq4xAuAfEQF7xT1jJmB90%2FGWc5GdA1CPcE0cqX0v3ivltTikWAjyDWVm0ujthLoBXKJWyDvf5%2BrXw7pvbPsZvMS68JsNEFNmfKZ%2BqCPZYIZCKLXkmLMpcx6nMVV1%2FCwszbJ%2BmfuyTTSyx0sf8YxlLiBCi2M9LwDKmf1sabzQHMJLJrFYboVvsMgRDhUaKivZIJGhpTkRHmT79faL5IFXFKjn8uavTK9FYjVgsCLs3SA7YpYnI6Kxdkw%3D%3D%7Ctkp%3ABk9SR6DE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
ASUS NVIDIA GeForce RTX 2080 8 GB,300.0,Pre-Owned,ASUS,NVIDIA GeForce RTX 2080,8.0,ASUS ROG-STRIX-RTX2080S-A8G-GAMING RTX 2080 SUPER 8GB Graphics Card,Pre-Owned · ASUS · NVIDIA GeForce RTX 2080 · 8GB,https://www.ebay.com/itm/155557728384?epid=26034419709&hash=item2437f69080%3Ag%3A%7EdoAAOSwXoBkZBKz&amdata=enc%3AAQAIAAAAwOHHA8K8ozsy7v5QK3AKcy%2BBUKEnyqDnKw95qenuKgQ5T1MWXhHvmfbMzZAO6FAR1EVTIxvFgR3IpeCSDiD0EXY61n%2Bu60f3e25wXEFoswZ68%2FpN0tSpFvAwUjZ%2FH3s1h7w2lyzjCudMlckKjtDLbNXtzOod8CxZX0kQPNHrLAw%2FMNSZ8if6%2Booh%2B%2F5XX6sm7%2BhGVlW33U9k08Xp%2FG7STUhM%2BhliZT0wDt2E2lM7trD8jHySNvDQWOPmmJvDD2lK4Q%3D%3D%7Ctkp%3ABk9SR6DE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
